"","Conversion","industry","Category","with_web","P_G","occupation","State_G","Google_P","Google___of_Reviews","Google_Avg_Rating","Google_diff_week","Angi_P","Angi_s___of_Reviews","Angi_s_Avg_Rating","Angi_diff_week","HA_P","HA___of_Reviews","HA_Avg_Rating","HA_diff_week","Yelp_P","Yelp___of_Reviews","Yelp_Avg_Rating","Yelp_diff_week","Yelp___of_Reviews__that_are_not_recommended_","FB_P","FB___of_Reviews","FB_Avg_Rating","FB_diff_week","FB_Page_Likes","FB_Page_Follows","IG_P","IG_Follows","Review_sum","Avg_Rating_sum","diff_week_sum","P_num","Review_mean","Avg_Rating_mean","diff_week_mean"
"142","TRUE","Home Construction","General Contracting",0,"Mid","General Contractor",2,FALSE,0,0,0,FALSE,0,0,0,TRUE,0,0,0,FALSE,0,0,0,0,TRUE,1,5,31.7142857142857,42,42,FALSE,0,1,5,31.7142857142857,2,0.5,2.5,15.8571428571429
"143","FALSE","Home Construction","Floor Installation or Replacement",0,"High","Floor, Carpet, and Tile Specialist",2,FALSE,0,0,0,FALSE,0,0,0,TRUE,1,5,0,TRUE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,1,5,0,2,0.5,2.5,0
"144","FALSE","Home Maintenance","Outdoor Landscaping and Design",0,"Mid","Landscaper",2,FALSE,0,0,0,FALSE,0,0,0,TRUE,3,4.72,715.428571428571,FALSE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,3,4.72,715.428571428571,1,3,4.72,715.428571428571
"145","FALSE","Home Maintenance","Outdoor Landscaping and Design",1,"Low","Landscaper",2,TRUE,12,4.3,28,TRUE,10,4.6,25.4285714285714,TRUE,14,4.5,14,TRUE,2,3,30.1428571428571,0,FALSE,0,0,0,0,0,FALSE,0,38,16.4,97.5714285714285,4,9.5,4.1,24.3928571428571
"146","FALSE","Home Construction","Floor Installation or Replacement",0,"Mid","Floor, Carpet, and Tile Specialist",2,FALSE,0,0,0,FALSE,0,0,0,TRUE,8,4.9,71.4285714285714,FALSE,0,0,0,0,FALSE,0,0,0,0,0,TRUE,27,8,4.9,71.4285714285714,1,8,4.9,71.4285714285714
"147","FALSE","Home Systems","Appliance Repair or Maintenance",1,"High","Handyman",3,TRUE,16,2.4,16,FALSE,0,0,0,TRUE,120,3.9,1.14285714285714,TRUE,36,2,0.857142857142857,14,FALSE,0,0,0,0,0,FALSE,0,172,8.3,18,3,57.3333333333333,2.76666666666667,6
"148","FALSE","Home Construction","General Contracting",1,"High","General Contractor",3,FALSE,0,0,0,FALSE,0,0,0,TRUE,5,4.7,249.571428571429,TRUE,1,5,147.428571428571,0,FALSE,0,0,0,0,0,TRUE,97,6,9.7,397,2,3,4.85,198.5
"149","FALSE","Home Construction","General Contracting",1,"High","General Contractor",3,FALSE,0,0,0,FALSE,0,0,0,TRUE,13,5,64.7142857142857,TRUE,5,5,69.5714285714286,4,FALSE,0,0,0,0,0,TRUE,553,18,10,134.285714285714,2,9,5,67.1428571428571
"150","FALSE","Home Systems","Heating System Repair or Maintenance",1,"High","HVAC Specialist",2,TRUE,226,4.7,192,FALSE,0,0,0,TRUE,7,4.24,1011.14285714286,TRUE,69,3,2.42857142857143,44,TRUE,15,5,40.2857142857143,21,21,FALSE,0,317,16.94,1245.85714285715,4,79.25,4.235,311.464285714286
"151","FALSE","Home Systems","Heating System Repair or Maintenance",0,"Low","HVAC Specialist",2,TRUE,3,3.7,144,TRUE,5,5,100,TRUE,1,5,682.571428571429,FALSE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,9,13.7,926.571428571429,3,3,4.56666666666667,308.857142857143
"152","FALSE","Home Systems","Plumbing Pipe Repair",0,"High","Plumber",3,FALSE,0,0,0,FALSE,0,0,0,TRUE,1,5,646.142857142857,TRUE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,1,5,646.142857142857,2,0.5,2.5,323.071428571428
"153","FALSE","Home Construction","Concrete Repair and Maintenance",0,"High","Paver",1,FALSE,0,0,0,FALSE,0,0,0,TRUE,0,0,0,TRUE,0,0,0,1,FALSE,0,0,0,0,0,FALSE,0,0,0,0,2,0,0,0
"154","FALSE","Home Maintenance","House Cleaning",1,"Mid","Cleaner",2,TRUE,12,4.3,8,FALSE,0,0,0,TRUE,2,4.8,54.8571428571429,FALSE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,14,9.1,62.8571428571429,2,7,4.55,31.4285714285714
"155","FALSE","Home Construction","Home Remodeling",0,"Mid","General Contractor",2,TRUE,10,3.5,48,FALSE,0,0,0,TRUE,0,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,10,3.5,48,2,5,1.75,24
"156","FALSE","Home Maintenance","Interior Painting",0,"Mid","Painter",2,FALSE,0,0,0,FALSE,0,0,0,TRUE,0,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,1,0,0,0
"157","FALSE","Home Construction","General Contracting",1,"Mid","General Contractor",1,TRUE,0,0,0,FALSE,0,0,0,TRUE,3,4.7,16.8571428571429,FALSE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,3,4.7,16.8571428571429,2,1.5,2.35,8.42857142857145
"158","FALSE","Home Construction","General Carpentry",1,"Low","Carpenter",2,FALSE,0,0,0,TRUE,2,5,280.857142857143,TRUE,18,4.9,118.428571428571,FALSE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,20,9.9,399.285714285714,2,10,4.95,199.642857142857
"159","FALSE","Home Construction","General Carpentry",0,"Mid","Carpenter",2,TRUE,1,1,4,FALSE,0,0,0,TRUE,2,2.8,7.57142857142857,FALSE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,3,3.8,11.5714285714286,2,1.5,1.9,5.78571428571428
"160","FALSE","Home Construction","General Carpentry",0,"Mid","Carpenter",2,FALSE,0,0,0,FALSE,0,0,0,TRUE,3,5,215,FALSE,0,0,0,0,FALSE,0,0,0,40,42,FALSE,0,3,5,215,1,3,5,215
"161","FALSE","Home Maintenance","Interior Painting",1,"High","Painter",3,TRUE,26,4.9,2,FALSE,0,0,0,FALSE,0,0,0,TRUE,3,5,15.4285714285714,0,FALSE,0,0,0,160,173,FALSE,0,29,9.9,17.4285714285714,2,14.5,4.95,8.7142857142857
"162","FALSE","Home Construction","General Contracting",1,"Mid","General Contractor",2,TRUE,13,5,2,FALSE,0,0,0,TRUE,1,5,578.428571428571,FALSE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,14,10,580.428571428571,2,7,5,290.214285714285
"163","FALSE","Home Construction","Architectural Services",0,"High","Engineer and Technical Designer",1,FALSE,0,0,0,FALSE,0,0,0,TRUE,0,0,0,TRUE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,2,0,0,0
